Model,Seed,gamma,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
clgsi,2222,0.33,84.07,84.18,85.66,85.46,51.94,51.43,56.1,76.23,56.07
clgsi,3333,0.33,83.24,83.48,85.8,85.66,54.54,53.04,53.85,77.11,53.84
clgsi,4444,0.33,83.47,83.78,86.46,86.37,56.28,54.75,52.97,77.3,53.13
